name,link_id,link_key,speed_sensor_id,count_sensor_id,from_node_id,to_node_id,link_type_name,direction,length,number_of_lanes,speed_limit,speed_at_capacity,lane_capacity_in_vhc_per_hour,link_type,jam_density,wave_speed,mode_code,grade,geometry,original_geometry,BPR_alpha_term,BPR_beta_term,number_of_left_turn_lanes,length_of_left_turn_lanes,number_of_right_turn_lanes,length_of_right_turn_lanes,from_approach,to_approach,reversed_link_id,orientation_code,loop_code,
Miller Rd,9027,9027_BA,,,9245,8869, Outlying CBD_Collectors,1,0.50069,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917689,33.458526,0.0 -111.917545,33.465790,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.917549,33.465790,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9027,,,
,9040,9040_AB,,,8875,9245, Outlying CBD_Bus Only,1,0.70034,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926235,33.465737,0.0 -111.917696,33.458523,0.0</coordinates></LineString>","<LineString><coordinates>-111.926232,33.465740,0.0 -111.917693,33.458526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9040,,,
,9040,9040_BA,,,9245,8875, Outlying CBD_Bus Only,1,0.70034,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917690,33.458529,0.0 -111.926229,33.465743,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.926232,33.465740,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9040,,,
52nd St,9074,9074_AB,,,8898,45038, Outlying CBD_Major Arterials ,1,0.66534,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.969747,33.465570,0.0 -111.969789,33.455916,0.0</coordinates></LineString>","<LineString><coordinates>-111.969743,33.465570,0.0 -111.969785,33.455916,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9074,,,
52nd St,9074,9074_BA,,,45038,8898, Outlying CBD_Major Arterials ,1,0.66534,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.969781,33.455916,0.0 -111.969739,33.465570,0.0</coordinates></LineString>","<LineString><coordinates>-111.969785,33.455916,0.0 -111.969743,33.465570,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9074,,,
Scottsdale Rd,9293,9293_AB,,,9069,9250, Outlying CBD_Major Arterials ,1,0.25267,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926278,33.462148,0.0 -111.926330,33.458482,0.0</coordinates></LineString>","<LineString><coordinates>-111.926274,33.462148,0.0 -111.926326,33.458482,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9293,,,
Scottsdale Rd,9293,9293_BA,,,9250,9069, Outlying CBD_Major Arterials ,1,0.25267,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926322,33.458482,0.0 -111.926270,33.462148,0.0</coordinates></LineString>","<LineString><coordinates>-111.926326,33.458482,0.0 -111.926274,33.462148,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9293,,,
68th St,9304,9304_AB,,,9076,9264, Outlying CBD_Collectors,1,0.24491,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.934935,33.461911,0.0 -111.935013,33.458358,0.0</coordinates></LineString>","<LineString><coordinates>-111.934931,33.461911,0.0 -111.935009,33.458358,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9304,,,
68th St,9304,9304_BA,,,9264,9076, Outlying CBD_Collectors,1,0.24491,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935005,33.458358,0.0 -111.934927,33.461911,0.0</coordinates></LineString>","<LineString><coordinates>-111.935009,33.458358,0.0 -111.934931,33.461911,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9304,,,
Loop 202,37490,37490_AB,,,45743,9316, Outlying CBD_Unmetered Ramps,1,0.24899,1,40.0000,40.0000,1235.0000,207,190.0,12.0,"",0.0,"<LineString><coordinates>-111.970070,33.455240,0.0 -111.970759,33.455203,0.0 -111.971101,33.455266,0.0 -111.971587,33.455404,0.0 -111.972019,33.455564,0.0 -111.972518,33.455731,0.0 -111.973162,33.455891,0.0 -111.973539,33.455971,0.0 -111.974204,33.456113,0.0</coordinates></LineString>","<LineString><coordinates>-111.970070,33.455240,0.0 -111.970759,33.455203,0.0 -111.971101,33.455266,0.0 -111.971587,33.455404,0.0 -111.972019,33.455564,0.0 -111.972518,33.455731,0.0 -111.973162,33.455891,0.0 -111.973539,33.455971,0.0 -111.974204,33.456113,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,0,,,
,9526,9526_AB,,,9242,9245, Outlying CBD_Bus Only,1,0.49951,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909046,33.458560,0.0 -111.917693,33.458530,0.0</coordinates></LineString>","<LineString><coordinates>-111.909046,33.458556,0.0 -111.917693,33.458526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9526,,,
,9526,9526_BA,,,9245,9242, Outlying CBD_Bus Only,1,0.49951,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917693,33.458522,0.0 -111.909046,33.458552,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.909046,33.458556,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9526,,,
Hayden Rd,9527,9527_AB,,,9242,9421, Outlying CBD_Major Arterials ,1,0.50206,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909050,33.458556,0.0 -111.909251,33.451273,0.0</coordinates></LineString>","<LineString><coordinates>-111.909046,33.458556,0.0 -111.909247,33.451273,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9527,,,
Hayden Rd,9527,9527_BA,,,9421,9242, Outlying CBD_Major Arterials ,1,0.50206,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909243,33.451273,0.0 -111.909042,33.458556,0.0</coordinates></LineString>","<LineString><coordinates>-111.909247,33.451273,0.0 -111.909046,33.458556,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9527,,,
,9533,9533_AB,,,9245,9250, Outlying CBD_Bus Only,1,0.49871,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917693,33.458530,0.0 -111.926326,33.458486,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.926326,33.458482,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9533,,,
,9533,9533_BA,,,9250,9245, Outlying CBD_Bus Only,1,0.49871,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926326,33.458478,0.0 -111.917693,33.458522,0.0</coordinates></LineString>","<LineString><coordinates>-111.926326,33.458482,0.0 -111.917693,33.458526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9533,,,
Miller Rd,9534,9534_AB,,,9245,9426, Outlying CBD_Collectors,1,0.50200,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917697,33.458526,0.0 -111.917844,33.451243,0.0</coordinates></LineString>","<LineString><coordinates>-111.917693,33.458526,0.0 -111.917840,33.451243,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9534,,,
Miller Rd,9534,9534_BA,,,9426,9245, Outlying CBD_Collectors,1,0.50200,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917836,33.451243,0.0 -111.917689,33.458526,0.0</coordinates></LineString>","<LineString><coordinates>-111.917840,33.451243,0.0 -111.917693,33.458526,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9534,,,
,9539,9539_AB,,,9250,9264, Outlying CBD_Bus Only,1,0.50336,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926326,33.458486,0.0 -111.929780,33.458143,0.0 -111.935009,33.458362,0.0</coordinates></LineString>","<LineString><coordinates>-111.926326,33.458482,0.0 -111.929780,33.458139,0.0 -111.935009,33.458358,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9539,,,
,9539,9539_BA,,,9264,9250, Outlying CBD_Bus Only,1,0.50336,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935009,33.458354,0.0 -111.929780,33.458135,0.0 -111.926326,33.458478,0.0</coordinates></LineString>","<LineString><coordinates>-111.935009,33.458358,0.0 -111.929780,33.458139,0.0 -111.926326,33.458482,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9539,,,
Scottsdale Rd,9540,9540_AB,,,9250,9326, Outlying CBD_Major Arterials ,1,0.24798,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926330,33.458482,0.0 -111.926382,33.454884,0.0</coordinates></LineString>","<LineString><coordinates>-111.926326,33.458482,0.0 -111.926378,33.454884,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9540,,,
Scottsdale Rd,9540,9540_BA,,,9326,9250, Outlying CBD_Major Arterials ,1,0.24798,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926374,33.454884,0.0 -111.926322,33.458482,0.0</coordinates></LineString>","<LineString><coordinates>-111.926378,33.454884,0.0 -111.926326,33.458482,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9540,,,
Continental Dr,9541,9541_AB,,,9250,31084, Outlying CBD_Major Arterials ,1,0.24108,1,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926326,33.458486,0.0 -111.930499,33.458437,0.0</coordinates></LineString>","<LineString><coordinates>-111.926326,33.458482,0.0 -111.930499,33.458433,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9541,,,
Continental Dr,9541,9541_BA,,,31084,9250, Outlying CBD_Major Arterials ,1,0.24108,1,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.930499,33.458429,0.0 -111.926326,33.458478,0.0</coordinates></LineString>","<LineString><coordinates>-111.930499,33.458433,0.0 -111.926326,33.458482,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9541,,,
68th St,9556,9556_AB,,,9264,9331, Outlying CBD_Collectors,1,0.25107,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935013,33.458358,0.0 -111.935120,33.454716,0.0</coordinates></LineString>","<LineString><coordinates>-111.935009,33.458358,0.0 -111.935116,33.454716,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9556,,,
68th St,9556,9556_BA,,,9331,9264, Outlying CBD_Collectors,1,0.25107,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935112,33.454716,0.0 -111.935005,33.458358,0.0</coordinates></LineString>","<LineString><coordinates>-111.935116,33.454716,0.0 -111.935009,33.458358,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9556,,,
Continental Dr,9557,9557_AB,,,9264,31084, Outlying CBD_Major Arterials ,1,0.26058,1,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935009,33.458354,0.0 -111.930499,33.458429,0.0</coordinates></LineString>","<LineString><coordinates>-111.935009,33.458358,0.0 -111.930499,33.458433,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9557,,,
Continental Dr,9557,9557_BA,,,31084,9264, Outlying CBD_Major Arterials ,1,0.26058,1,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.930499,33.458437,0.0 -111.935009,33.458362,0.0</coordinates></LineString>","<LineString><coordinates>-111.930499,33.458433,0.0 -111.935009,33.458358,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9557,,,
Galvin Pkwy,9589,9589_AB,,,9298,9445, Outlying CBD_Major Arterials ,1,0.52921,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.951381,33.457026,0.0 -111.951662,33.455526,0.0 -111.951888,33.455051,0.0 -111.952215,33.454609,0.0 -111.952806,33.454208,0.0 -111.954127,33.453638,0.0 -111.954428,33.453501,0.0 -111.954768,33.453300,0.0 -111.955095,33.452889,0.0 -111.955308,33.452478,0.0 -111.955434,33.451993,0.0 -111.955817,33.450866,0.0</coordinates></LineString>","<LineString><coordinates>-111.951377,33.457023,0.0 -111.951658,33.455523,0.0 -111.951884,33.455048,0.0 -111.952211,33.454606,0.0 -111.952802,33.454205,0.0 -111.954123,33.453635,0.0 -111.954424,33.453498,0.0 -111.954764,33.453297,0.0 -111.955091,33.452886,0.0 -111.955304,33.452475,0.0 -111.955430,33.451990,0.0 -111.955813,33.450863,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9589,,,
Galvin Pkwy,9589,9589_BA,,,9445,9298, Outlying CBD_Major Arterials ,1,0.52921,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.955809,33.450860,0.0 -111.955426,33.451987,0.0 -111.955300,33.452472,0.0 -111.955087,33.452883,0.0 -111.954760,33.453294,0.0 -111.954420,33.453495,0.0 -111.954119,33.453632,0.0 -111.952798,33.454202,0.0 -111.952207,33.454603,0.0 -111.951880,33.455045,0.0 -111.951654,33.455520,0.0 -111.951373,33.457020,0.0</coordinates></LineString>","<LineString><coordinates>-111.955813,33.450863,0.0 -111.955430,33.451990,0.0 -111.955304,33.452475,0.0 -111.955091,33.452886,0.0 -111.954764,33.453297,0.0 -111.954424,33.453498,0.0 -111.954123,33.453635,0.0 -111.952802,33.454205,0.0 -111.952211,33.454606,0.0 -111.951884,33.455048,0.0 -111.951658,33.455523,0.0 -111.951377,33.457023,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9589,,,
Scottsdale Rd,9611,9611_AB,,,9326,9431, Outlying CBD_Major Arterials ,1,0.25231,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926382,33.454884,0.0 -111.926375,33.451223,0.0</coordinates></LineString>","<LineString><coordinates>-111.926378,33.454884,0.0 -111.926371,33.451223,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9611,,,
Scottsdale Rd,9611,9611_BA,,,9431,9326, Outlying CBD_Major Arterials ,1,0.25231,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926367,33.451223,0.0 -111.926374,33.454884,0.0</coordinates></LineString>","<LineString><coordinates>-111.926371,33.451223,0.0 -111.926378,33.454884,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9611,,,
Loop 202,9612,9612_AB,,,9327,18246, Outlying CBD_Freeways,1,0.32683,3,70.0000,70.0000,1925.0000,201,220.0,12.0,"",0.0,"<LineString><coordinates>-111.970608,33.454314,0.0 -111.971080,33.454681,0.0 -111.971553,33.454991,0.0 -111.971991,33.455232,0.0 -111.972491,33.455490,0.0 -111.972799,33.455621,0.0 -111.973210,33.455747,0.0 -111.973655,33.455891,0.0 -111.974298,33.456051,0.0 -111.975606,33.456397,0.0</coordinates></LineString>","<LineString><coordinates>-111.970608,33.454314,0.0 -111.971080,33.454681,0.0 -111.971553,33.454991,0.0 -111.971991,33.455232,0.0 -111.972491,33.455490,0.0 -111.972799,33.455621,0.0 -111.973210,33.455747,0.0 -111.973655,33.455891,0.0 -111.974298,33.456051,0.0 -111.975606,33.456397,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,0,,,
68th St,9616,9616_AB,,,9331,9436, Outlying CBD_Collectors,1,0.24953,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935120,33.454716,0.0 -111.935205,33.451096,0.0</coordinates></LineString>","<LineString><coordinates>-111.935116,33.454716,0.0 -111.935201,33.451096,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9616,,,
68th St,9616,9616_BA,,,9436,9331, Outlying CBD_Collectors,1,0.24953,1,28.0000,28.0000,525.0000,203,190.0,12.0,"",0.0,"<LineString><coordinates>-111.935197,33.451096,0.0 -111.935112,33.454716,0.0</coordinates></LineString>","<LineString><coordinates>-111.935201,33.451096,0.0 -111.935116,33.454716,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9616,,,
Loop 202,9617,9617_AB,,,9332,9584, Outlying CBD_Freeways,1,0.60012,4,70.0000,70.0000,1925.0000,201,220.0,12.0,"",0.0,"<LineString><coordinates>-111.970998,33.454257,0.0 -111.970429,33.453717,0.0 -111.970196,33.453442,0.0 -111.969922,33.453040,0.0 -111.969710,33.452719,0.0 -111.969580,33.452478,0.0 -111.969498,33.452260,0.0 -111.969216,33.451508,0.0 -111.969134,33.451084,0.0 -111.969085,33.450688,0.0 -111.969078,33.450280,0.0 -111.969056,33.445977,0.0</coordinates></LineString>","<LineString><coordinates>-111.970998,33.454257,0.0 -111.970429,33.453717,0.0 -111.970196,33.453442,0.0 -111.969922,33.453040,0.0 -111.969710,33.452719,0.0 -111.969580,33.452478,0.0 -111.969498,33.452260,0.0 -111.969216,33.451508,0.0 -111.969134,33.451084,0.0 -111.969085,33.450688,0.0 -111.969078,33.450280,0.0 -111.969056,33.445977,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,0,,,
Van Buren St,37492,37492_AB,,,45734,9443, Outlying CBD_Major Arterials ,1,0.20776,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.970545,33.450944,0.0 -111.974141,33.450973,0.0</coordinates></LineString>","<LineString><coordinates>-111.970545,33.450940,0.0 -111.974141,33.450969,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,37492,,,
Van Buren St,37492,37492_BA,,,9443,45734, Outlying CBD_Major Arterials ,1,0.20776,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.974141,33.450965,0.0 -111.970545,33.450936,0.0</coordinates></LineString>","<LineString><coordinates>-111.974141,33.450969,0.0 -111.970545,33.450940,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,37492,,,
Van Buren St,37491,37491_AB,,,45733,14095, Outlying CBD_Major Arterials ,1,0.36934,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.967392,33.450910,0.0 -111.961000,33.451008,0.0</coordinates></LineString>","<LineString><coordinates>-111.967392,33.450914,0.0 -111.961000,33.451012,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,37491,,,
Van Buren St,37491,37491_BA,,,14095,45733, Outlying CBD_Major Arterials ,1,0.36934,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.961000,33.451016,0.0 -111.967392,33.450918,0.0</coordinates></LineString>","<LineString><coordinates>-111.961000,33.451012,0.0 -111.967392,33.450914,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,37491,,,
52nd St,9624,9624_AB,,,45045,45742, Outlying CBD_Major Arterials ,1,0.10704,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.969817,33.453556,0.0 -111.969791,33.452003,0.0</coordinates></LineString>","<LineString><coordinates>-111.969817,33.453556,0.0 -111.969791,33.452003,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,0,,,
McKellips Rd,9764,9764_AB,,,9420,9421, Outlying CBD_Major Arterials ,1,0.49777,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.900631,33.451320,0.0 -111.909247,33.451277,0.0</coordinates></LineString>","<LineString><coordinates>-111.900631,33.451316,0.0 -111.909247,33.451273,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9764,,,
McKellips Rd,9764,9764_BA,,,9421,9420, Outlying CBD_Major Arterials ,1,0.49777,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909247,33.451269,0.0 -111.900631,33.451312,0.0</coordinates></LineString>","<LineString><coordinates>-111.909247,33.451273,0.0 -111.900631,33.451316,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9764,,,
McKellips Rd,9765,9765_AB,,,9420,14904, Outlying CBD_Major Arterials ,1,0.37014,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.900631,33.451312,0.0 -111.894224,33.451322,0.0</coordinates></LineString>","<LineString><coordinates>-111.900631,33.451316,0.0 -111.894224,33.451326,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9765,,,
McKellips Rd,9765,9765_BA,,,14904,9420, Outlying CBD_Major Arterials ,1,0.37014,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.894224,33.451330,0.0 -111.900631,33.451320,0.0</coordinates></LineString>","<LineString><coordinates>-111.894224,33.451326,0.0 -111.900631,33.451316,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9765,,,
McKellips Rd,9766,9766_AB,,,9421,43692, Outlying CBD_Major Arterials ,1,0.19637,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909247,33.451277,0.0 -111.912646,33.451266,0.0</coordinates></LineString>","<LineString><coordinates>-111.909247,33.451273,0.0 -111.912646,33.451262,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9766,,,
McKellips Rd,9766,9766_BA,,,43692,9421, Outlying CBD_Major Arterials ,1,0.19637,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.912646,33.451258,0.0 -111.909247,33.451269,0.0</coordinates></LineString>","<LineString><coordinates>-111.912646,33.451262,0.0 -111.909247,33.451273,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9766,,,
McClintock Dr,9767,9767_AB,,,9421,14173, Outlying CBD_Major Arterials ,1,0.25499,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909251,33.451273,0.0 -111.909350,33.447574,0.0</coordinates></LineString>","<LineString><coordinates>-111.909247,33.451273,0.0 -111.909346,33.447574,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9767,,,
McClintock Dr,9767,9767_BA,,,14173,9421, Outlying CBD_Major Arterials ,1,0.25499,3,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.909342,33.447574,0.0 -111.909243,33.451273,0.0</coordinates></LineString>","<LineString><coordinates>-111.909346,33.447574,0.0 -111.909247,33.451273,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9767,,,
McKellips Rd,9768,9768_AB,,,9422,9426, Outlying CBD_Major Arterials ,1,0.24906,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.913529,33.451263,0.0 -111.917840,33.451247,0.0</coordinates></LineString>","<LineString><coordinates>-111.913529,33.451259,0.0 -111.917840,33.451243,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9768,,,
McKellips Rd,9768,9768_BA,,,9426,9422, Outlying CBD_Major Arterials ,1,0.24906,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917840,33.451239,0.0 -111.913529,33.451255,0.0</coordinates></LineString>","<LineString><coordinates>-111.917840,33.451243,0.0 -111.913529,33.451259,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9768,,,
McKellips Rd,9770,9770_AB,,,9426,9429, Outlying CBD_Major Arterials ,1,0.24721,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917840,33.451239,0.0 -111.922119,33.451231,0.0</coordinates></LineString>","<LineString><coordinates>-111.917840,33.451243,0.0 -111.922119,33.451235,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9770,,,
McKellips Rd,9770,9770_BA,,,9429,9426, Outlying CBD_Major Arterials ,1,0.24721,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.922119,33.451231,0.0 -111.917840,33.451239,0.0</coordinates></LineString>","<LineString><coordinates>-111.922119,33.451235,0.0 -111.917840,33.451243,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9770,,,
,9771,9771_AB,,,9426,43693, Outlying CBD_Bus Only,1,0.33330,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917844,33.451243,0.0 -111.917895,33.446407,0.0</coordinates></LineString>","<LineString><coordinates>-111.917840,33.451243,0.0 -111.917891,33.446407,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9771,,,
,9771,9771_BA,,,43693,9426, Outlying CBD_Bus Only,1,0.33330,1,30.0000,30.0000,1000.0000,212,190.0,12.0,"",0.0,"<LineString><coordinates>-111.917887,33.446407,0.0 -111.917836,33.451243,0.0</coordinates></LineString>","<LineString><coordinates>-111.917891,33.446407,0.0 -111.917840,33.451243,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9771,,,
McKellips Rd,9774,9774_AB,,,9429,9431, Outlying CBD_Major Arterials ,1,0.24565,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.922119,33.451239,0.0 -111.926371,33.451227,0.0</coordinates></LineString>","<LineString><coordinates>-111.922119,33.451235,0.0 -111.926371,33.451223,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9774,,,
McKellips Rd,9774,9774_BA,,,9431,9429, Outlying CBD_Major Arterials ,1,0.24565,2,40.0000,40.0000,812.0000,206,190.0,12.0,"",0.0,"<LineString><coordinates>-111.926371,33.451219,0.0 -111.922119,33.451231,0.0</coordinates></LineString>","<LineString><coordinates>-111.926371,33.451223,0.0 -111.922119,33.451235,0.0</coordinates></LineString>",0.1500,4.0000,0,0.00000,0,0.00000,N,N,9774,,,
